"date","benchmark_MKT_RF_contrib","benchmark_SMB_contrib","benchmark_HML_contrib","benchmark_MOM_contrib","dynamic_logit_MKT_RF_contrib","dynamic_logit_SMB_contrib","dynamic_logit_HML_contrib","dynamic_logit_MOM_contrib","dynamic_xgboost_MKT_RF_contrib","dynamic_xgboost_SMB_contrib","dynamic_xgboost_HML_contrib","dynamic_xgboost_MOM_contrib"
2012-02-29,0.01105,-0.0046,0.00105,-0.00065,0.01326,-0.0046,0.00063,-0.00078,0.01547,-0.00276,0.00147,-0.00039
2012-03-31,0.0078,-0.001575,0.002975,0.003275,0.01092,-0.000945,0.004165,0.001965,0.01092,-0.000945,0.004165,0.001965
2012-04-30,-0.002125,-0.000925,-0.001925,0.0093,-0.002975,-0.000555,-0.002695,0.00558,-0.002975,-0.000555,-0.002695,0.00558
2012-05-31,-0.0154,0.000325,-0.00235,0.016125,-0.01848,0.000325,-0.00141,0.01935,-0.02156,0.000195,-0.00329,0.009675
2012-06-30,0.009725,0.0018,0.001375,-0.00275,0.01167,0.0018,0.000825,-0.0033,0.013615,0.00108,0.001925,-0.00165
2012-07-31,0.001975,-0.0069,-0.00015,0.0075,0.002765,-0.00414,-0.00021,0.0045,0.002765,-0.00414,-0.00021,0.0045
2012-08-31,0.006375,0.001275,0.0031,-0.00585,0.008925,0.000765,0.00434,-0.00351,0.008925,0.000765,0.00434,-0.00351
2012-09-30,0.00685,0.00115,0.004075,-0.0028,0.00959,0.00069,0.005705,-0.00168,0.00959,0.00069,0.005705,-0.00168
2012-10-31,-0.004375,-0.0027,0.008825,0.00015,-0.00525,-0.0027,0.005295,0.00018,-0.006125,-0.00162,0.012355,9e-05
2012-11-30,0.001975,0.001525,-0.002125,0.00135,0.002765,0.000915,-0.002975,0.00081,0.002765,0.000915,-0.002975,0.00081
2012-12-31,0.002975,0.003775,0.008725,-0.0073,0.004165,0.002265,0.012215,-0.00438,0.004165,0.002265,0.012215,-0.00438
2013-01-31,0.013925,0.000725,0.002525,-0.00455,0.019495,0.000435,0.003535,-0.00273,0.01671,0.000725,0.001515,-0.00546
2013-02-28,0.0032,-0.00075,0.000525,0.003075,0.00448,-0.00045,0.000735,0.001845,0.00448,-0.00045,0.000735,0.001845
2013-03-31,0.0101,0.002075,-0.00055,0.0048,0.01212,0.002075,-0.00033,0.00576,0.01414,0.001245,-0.00077,0.00288
2013-04-30,0.0039,-0.005925,0.0011,0.00055,0.00468,-0.005925,0.00066,0.00066,0.00546,-0.003555,0.00154,0.00033
2013-05-31,0.007,0.00425,0.006675,-0.005025,0.0084,0.00425,0.004005,-0.00603,0.0084,0.00425,0.004005,-0.00603
2013-06-30,-0.003,0.003275,-0.000125,0.001075,-0.0042,0.001965,-0.000175,0.000645,-0.0036,0.003275,-7.5e-05,0.00129
2013-07-31,0.014125,0.004525,0.00145,0.00435,0.01695,0.004525,0.00087,0.00522,0.01695,0.004525,0.00087,0.00522
2013-08-31,-0.006775,8e-04,-0.006825,1e-04,-0.00813,8e-04,-0.004095,0.00012,-0.00813,8e-04,-0.004095,0.00012
2013-09-30,0.009425,0.007225,-0.00295,0.00755,0.01131,0.007225,-0.00177,0.00906,0.01131,0.007225,-0.00177,0.00906
2013-10-31,0.010425,-0.0039,0.00305,5e-05,0.01251,-0.0039,0.00183,6e-05,0.014595,-0.00234,0.00427,3e-05
